"","html_form","attachments","flash_content","html_iframe","html_content","urls","external_resources","javascript","css","ips_in_urls","at_in_urls","encoding","is_phishy"
"391","False","0","False","False","False","6","0","0","0","False","False","none","True"
"392","False","0","False","False","False","6","1","0","1","False","False","other","True"
"393","False","1","False","False","False","0","0","0","0","False","False","none","True"
"394","False","0","False","False","True","5","0","0","0","False","False","none","True"
"395","False","0","False","False","True","7","0","0","0","False","False","none","True"
"396","False","0","False","False","True","0","1","0","1","False","False","base64","True"
"397","False","0","False","False","True","10","0","0","0","False","False","none","True"
"398","False","1","False","False","False","0","0","0","0","False","False","none","True"
"399","False","0","False","False","True","5","0","0","0","False","False","none","True"
"400","False","0","False","False","True","5","0","0","0","False","False","none","True"
"401","False","0","False","False","True","0","0","0","0","False","False","7bit","True"
"402","False","0","False","False","True","5","0","0","0","False","False","none","True"
"403","False","0","False","False","True","5","0","0","0","False","False","none","True"
"404","False","0","False","False","True","7","0","0","0","False","False","none","True"
"405","False","1","False","False","False","0","0","0","0","False","False","none","True"
"406","False","0","False","False","True","56","0","0","0","False","False","none","True"
"407","False","0","False","False","True","11","0","0","0","False","False","none","True"
"408","False","0","False","False","True","6","0","0","0","False","False","none","True"
"409","False","1","False","False","False","0","0","0","0","False","False","none","True"
"410","False","0","False","False","True","4","0","0","0","False","False","7bit","True"
"411","False","0","False","False","True","3","0","0","0","False","False","7bit","True"
"412","False","0","False","False","False","0","0","0","0","False","False","other","True"
"413","False","1","False","False","False","0","0","0","0","False","False","none","True"
"414","False","0","False","False","True","17","0","0","0","False","False","none","True"
"415","False","0","False","False","False","13","0","0","0","False","False","none","True"
"416","False","0","False","False","False","13","0","0","0","False","False","none","True"
"417","False","0","False","False","True","9","0","0","0","False","False","none","True"
"418","False","0","False","False","True","13","0","0","0","False","False","none","True"
"419","False","0","False","False","True","13","0","0","0","False","False","none","True"
"420","False","0","False","False","True","4","0","0","0","False","False","7bit","True"
"421","False","0","False","False","True","8","0","0","0","False","False","7bit","True"
"422","False","0","False","False","True","5","0","0","0","False","False","8bit","True"
"423","False","0","False","False","False","2","0","0","0","False","False","other","True"
"424","False","0","False","False","True","6","0","0","0","True","False","none","True"
"425","False","0","False","False","True","18","0","0","0","False","False","none","True"
"426","False","0","False","False","True","18","0","0","0","False","False","none","True"
"427","False","0","False","False","True","14","0","0","0","False","False","none","True"
"428","False","0","False","False","True","17","0","0","0","True","False","none","True"
